,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
267,APPROXIMATE,"Teplice, Czechia",ChIJOX8yMYmOCUcRUPwVZg-vAAQ,"Teplice, Czechoslovakia",50.6444579,13.835284,1,,OK,"locality,political"
268,APPROXIMATE,"Bohosudov, 417 42 Krupka, Czechia",ChIJWSEZOSmOCUcRGZx1KcN5lhU,"Bohosudov, Czechoslovakia",50.681863,13.8716769,1,417 42,OK,"neighborhood,political"
269,APPROXIMATE,"549 54 Police nad Metují, Czechia",ChIJd2YgR3BdDkcRUKwVZg-vAAQ,"Police nad Metuji, Czechoslovakia",50.5368675,16.2335098,1,549 54,OK,"locality,political"
270,APPROXIMATE,"Munich, Germany",ChIJ2V-Mo_l1nkcRfZixfUq4DAE,"Munich, Bavaria, W Germany",48.1351253,11.5819805,1,,OK,"locality,political"
271,APPROXIMATE,"Zagreb, Croatia",ChIJOcwCyZLWZUcRisL7KJYkRTo,"Zagreb, Croatia, Yugoslavia",45.8150108,15.9819189,1,,OK,"locality,political"
272,APPROXIMATE,"Zagreb, Croatia",ChIJOcwCyZLWZUcRisL7KJYkRTo,"Zagreb, Croatia, Yugoslavia",45.8150108,15.9819189,1,,OK,"locality,political"
273,APPROXIMATE,"Zagreb, Croatia",ChIJOcwCyZLWZUcRisL7KJYkRTo,"Zagreb, Croatia, Yugoslavia",45.8150108,15.9819189,1,,OK,"locality,political"
274,APPROXIMATE,"Zagreb, Croatia",ChIJOcwCyZLWZUcRisL7KJYkRTo,"Zagreb, Croatia, Yugoslavia",45.8150108,15.9819189,1,,OK,"locality,political"
275,APPROXIMATE,"Zagreb, Croatia",ChIJOcwCyZLWZUcRisL7KJYkRTo,"Zagreb, Croatia, Yugoslavia",45.8150108,15.9819189,1,,OK,"locality,political"
276,APPROXIMATE,"Zagreb, Croatia",ChIJOcwCyZLWZUcRisL7KJYkRTo,"Zagreb, Croatia, Yugoslavia",45.8150108,15.9819189,1,,OK,"locality,political"
277,,,,"Kamnik, Slovenia, Yugoslavia",,,0,,ZERO_RESULTS,
278,APPROXIMATE,"Monthey, Switzerland",ChIJR-W61sG8jkcRZzRRKKVs2uY,"Monthey, Valais, Switzerland",46.2521873,6.9469598,1,,OK,"locality,political"
279,APPROXIMATE,"73700 Bourg-Saint-Maurice, France",ChIJOXYlgjRmiUcRsLa65CqrCAQ,"Bourg St. Maurice, Savoie, France",45.618598,6.769548,1,73700,OK,"locality,political"
280,APPROXIMATE,"Orsières, Switzerland",ChIJe9z22JE0iUcRp7WZaq3xf4A,"Praz-de-Fort, Valais, Switzerland",46.0282108,7.1470995,1,,OK,"locality,political"
281,APPROXIMATE,"Verbier, 1936 Bagnes, Switzerland",ChIJc6mm987PjkcRkYgnDZw-3v8,"Verbier, Valais, Switzerland",46.0960814,7.2285512,1,1936,OK,"political,sublocality,sublocality_level_1"
282,APPROXIMATE,"Levron, 1942 Vollèges, Switzerland",ChIJIRxlz9fOjkcRTYeKpiLtDw0,"Levron, Valais, Switzerland",46.09897,7.16415,1,1942,OK,"colloquial_area,political"
283,APPROXIMATE,"Verbier, 1936 Bagnes, Switzerland",ChIJc6mm987PjkcRkYgnDZw-3v8,"Verbier, Valais, Switzerland",46.0960814,7.2285512,1,1936,OK,"political,sublocality,sublocality_level_1"
284,APPROXIMATE,"Avignon, France",ChIJB528OYfrtRIRNnsd-m6bQuY,"Avignon, Vaucluse, France",43.949317,4.805528,1,,OK,"locality,political"
285,APPROXIMATE,"69190 Saint-Fons, France",ChIJraSrOtvp9EcRMB275CqrCAQ,"St. Fons, Rhone, France",45.708874,4.853374,1,69190,OK,"locality,political"
286,APPROXIMATE,"26420 La Chapelle-en-Vercors, France",ChIJLftvV5aYikcR8Ma_5CqrCAQ,"La Chapelle-en-Vercors, Drome, France",44.968247,5.416081,1,26420,OK,"locality,political"
287,APPROXIMATE,"26420 La Chapelle-en-Vercors, France",ChIJLftvV5aYikcR8Ma_5CqrCAQ,"La Chapelle-en-Vercors, Drome, France",44.968247,5.416081,1,26420,OK,"locality,political"
288,APPROXIMATE,"Springdale, PA, USA",ChIJZ_e9UAGVNIgRsE2QtDLmHAc,"Springdale, Pennsylvania",40.5409008,-79.7839373,1,,OK,"locality,political"
289,APPROXIMATE,"Murrysville, PA, USA",ChIJ169WHHLBNIgR22UGKKdNaGQ,"Murrysville, Pennsylvania",40.4284015,-79.697545,1,,OK,"locality,political"
290,APPROXIMATE,"Pittsburgh, PA, USA",ChIJA4UGSG_xNIgRNBuiWqEV-Y0,"Pittsburgh, Pennsylvania",40.4406248,-79.9958864,1,,OK,"locality,political"
291,APPROXIMATE,"Ridgewood, NJ 07450, USA",ChIJOYyoQ6XkwokRsJcmXQpaGAc,"Ridgewood, New Jersey",40.9792645,-74.1165313,1,07450,OK,"locality,political"
292,APPROXIMATE,"Oakland, CA, USA",ChIJA-2qKIt9hYARZ5N1NdUVtHE,"Oakland, California",37.8043637,-122.2711137,1,,OK,"locality,political"
293,APPROXIMATE,"Solebury, PA 18938, USA",ChIJ2xApcCsHxIkRVNp_akB0nxw,"Solebury, Pennsylvania",40.3806,-75.008292,1,18938,OK,"locality,political"
294,APPROXIMATE,"Athens, Greece",ChIJ8UNwBh-9oRQR3Y1mdkU1Nic,"Athens, Greece",37.9838096,23.7275388,1,,OK,"locality,political"
295,APPROXIMATE,"Athens, Greece",ChIJ8UNwBh-9oRQR3Y1mdkU1Nic,"Athens, Greece",37.9838096,23.7275388,1,,OK,"locality,political"
296,APPROXIMATE,"Kavala, Greece",ChIJAfxmkHK7rhQRbEdqRDfhZ_U,"Kavala, Greece",40.937607,24.412866,1,,OK,"locality,political"
297,ROOFTOP,"1350 Spring St NW #1, Atlanta, GA 30309, USA",ChIJz4_nc1oE9YgRxihstPqFSoM,,33.791638,-84.389488,1,30309,OK,"bar,establishment,food,point_of_interest,restaurant"
298,APPROXIMATE,"Kavala, Greece",ChIJAfxmkHK7rhQRbEdqRDfhZ_U,"Kavala, Greece",40.937607,24.412866,1,,OK,"locality,political"
